,className,classId,x,y,geometry,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
0,tailings,3,25.4218501953,-29.7691810361,POINT (25.42185019534988 -29.769181036080262),1194,1544,1980,2028,2098,2151,2276,2234,2298,2308,2640,1629
1,tailings,3,25.4219351624,-29.7692032292,POINT (25.421935162426323 -29.76920322915283),1194,1476,1968,2054,2098,2151,2276,2230,2298,2308,2640,1629
2,tailings,3,25.4220201295,-29.7692254222,POINT (25.42202012950277 -29.769225422220494),1194,1428,1888,1988,2078,2095,2270,2220,2258,2308,2625,1647
3,tailings,3,25.4221050966,-29.7692476153,POINT (25.422105096579212 -29.769247615283238),1194,1428,1832,1938,2078,2095,2270,2156,2258,2308,2625,1647
4,tailings,3,25.4221900637,-29.7692698083,POINT (25.42219006365566 -29.769269808341054),1129,1356,1824,1904,1983,2041,2091,2154,2140,2210,2499,1562
5,tailings,3,25.4222750307,-29.7692920014,POINT (25.422275030732102 -29.76929200139396),1129,1196,1590,1688,1939,1970,2057,1902,2087,2210,2466,1546
6,tailings,3,25.4223599978,-29.7693141944,POINT (25.42235999780855 -29.769314194441954),1129,1202,1660,1764,1992,1944,2117,1954,2085,2210,2504,1592
7,tailings,3,25.4224449649,-29.7693363875,POINT (25.422444964884992 -29.769336387485026),1129,1202,1660,1764,1992,1944,2117,1954,2085,2210,2504,1592
8,tailings,3,25.422529932,-29.7693585805,POINT (25.42252993196144 -29.76935858052318),1129,1338,1802,1924,1992,1944,2117,2176,2085,2210,2504,1592
9,tailings,3,25.422614899,-29.7693807736,POINT (25.42261489903788 -29.76938077355642),1129,1406,1886,1974,2175,2213,2287,2198,2277,2210,2693,1726
10,tailings,3,25.4226998661,-29.7694029666,POINT (25.422699866114325 -29.769402966584742),1129,1482,1948,2056,2175,2213,2287,2302,2277,2210,2693,1726
11,tailings,3,25.4227848332,-29.7694251596,POINT (25.422784833190768 -29.769425159608137),1140,1496,1986,2098,2199,2247,2347,2336,2358,2358,2752,1752
12,tailings,3,25.4228698003,-29.7694473526,POINT (25.42286980026721 -29.769447352626628),1140,1496,1982,2122,2199,2247,2347,2382,2358,2358,2752,1752
13,tailings,3,25.4229547673,-29.7694695456,POINT (25.42295476734366 -29.7694695456402),1140,1594,2120,2208,2389,2377,2517,2434,2513,2358,2724,1710
14,tailings,3,25.4230397344,-29.7694917386,POINT (25.423039734420104 -29.769491738648856),1140,1594,2120,2208,2389,2377,2517,2434,2513,2358,2724,1710
15,tailings,3,25.4231247015,-29.7695139317,POINT (25.423124701496548 -29.769513931652583),1140,1628,2070,2176,2389,2377,2517,2490,2513,2358,2724,1710
16,tailings,3,25.4232096686,-29.7695361247,POINT (25.42320966857299 -29.769536124651406),1140,1628,2070,2176,2389,2377,2517,2490,2513,2358,2724,1710
17,tailings,3,25.4232946356,-29.7695583176,POINT (25.423294635649437 -29.769558317645306),1140,1614,2132,2242,2427,2475,2617,2590,2650,2358,2670,1607
18,tailings,3,25.4233796027,-29.7695805106,POINT (25.42337960272588 -29.769580510634288),1140,1604,2132,2248,2427,2475,2617,2674,2650,2358,2670,1607
19,tailings,3,25.4234645698,-29.7696027036,POINT (25.423464569802324 -29.769602703618357),1036,1644,2200,2320,2490,2477,2638,2662,2595,2034,2697,1652
20,tailings,3,25.4235495369,-29.7696248966,POINT (25.42354953687877 -29.769624896597506),1036,1672,2198,2330,2490,2477,2638,2624,2595,2034,2697,1652
21,tailings,3,25.423634504,-29.7696470896,POINT (25.423634503955217 -29.769647089571738),1203,1622,2138,2214,2414,2444,2555,2566,2609,2484,2828,1741
22,tailings,3,25.423719471,-29.7696692825,POINT (25.42371947103166 -29.76966928254106),1203,1582,2078,2194,2414,2444,2555,2476,2609,2484,2828,1741
23,tailings,3,25.4238044381,-29.7696914755,POINT (25.423804438108103 -29.76969147550546),1203,1582,2078,2194,2414,2444,2555,2476,2609,2484,2828,1741
24,tailings,3,25.4238894052,-29.7697136685,POINT (25.42388940518455 -29.76971366846494),1203,1544,2014,2122,2199,2273,2366,2370,2381,2484,2761,1769
25,tailings,3,25.4239743723,-29.7697358614,POINT (25.423974372260993 -29.76973586141951),1203,1522,2048,2150,2199,2273,2366,2378,2381,2484,2761,1769
26,tailings,3,25.4240593393,-29.7697580544,POINT (25.424059339337436 -29.769758054369156),1169,1554,2044,2106,1944,2006,2138,2382,2127,2245,2629,1777
27,tailings,3,25.4241443064,-29.7697802473,POINT (25.42414430641388 -29.769780247313882),1169,1312,1774,1856,1944,2006,2138,2086,2127,2245,2629,1777
28,tailings,3,25.4242292735,-29.7698024403,POINT (25.424229273490326 -29.769802440253695),1169,1294,1568,1688,1937,1881,2043,1866,2018,2245,2737,2017
